Date,DAX,SPY,BAC,JNJ,AAPL,VWAGY
2017-05-15,12807.040039,221.663818,21.899664,112.765182,37.004055,15.440301
2017-05-16,12804.530273,221.460861,21.835955,113.457802,36.949409,15.525895
2017-05-17,12631.610352,217.531235,20.543455,112.481033,35.708809,15.202537
2017-05-18,12590.05957,218.407562,20.698193,112.747429,36.253052,15.093166
2017-05-19,12638.69043,219.82814,20.980356,112.774048,36.376633,15.154985
2017-05-22,12619.459961,220.94429,20.971256,113.004936,36.597668,15.354706
2017-05-23,12659.150391,221.433182,21.289831,113.235809,36.552509,15.2596
2017-05-24,12642.870117,221.949768,21.262522,113.226936,36.443176,15.297642
2017-05-25,12621.719727,223.01059,21.162401,113.995674,36.569141,15.240579
2017-05-26,12602.179688,222.964447,21.153297,113.450401,36.507351,15.164495
2017-05-30,12598.679688,222.770737,20.852924,113.620224,36.52161,15.076523
2017-05-31,12615.05957,222.715363,20.464817,114.639236,36.305336,14.940998
2017-06-01,12664.919922,224.486465,20.665716,115.113014,36.405155,15.014705
2017-06-02,12822.94043,225.233658,20.50135,116.275047,36.944645,15.257697
2017-06-06,12690.120117,224.348114,20.30044,116.945442,36.706985,14.988551
2017-06-07,12672.490234,224.763199,20.638325,116.873924,36.925636,14.873949
2017-06-08,12713.580078,224.873932,20.976208,116.69516,36.83532,14.769809
2017-06-09,12815.719727,224.532623,21.61545,117.571152,35.406967,14.698481
2017-06-12,12690.44043,224.486465,21.715899,117.830376,34.560894,14.907712
2017-06-13,12764.980469,225.584183,21.706768,118.009171,34.838955,14.96953
2017-06-14,12805.950195,225.298248,21.697636,118.679565,34.4991,14.784075
2017-06-15,12691.80957,224.86467,21.496735,118.920898,34.292328,14.508271
2017-06-16,12752.730469,224.913818,21.39628,120.091896,33.812263,14.384634
2017-06-19,12888.950195,226.786255,21.834616,119.841583,34.779541,14.35848
2017-06-20,12814.790039,225.256775,21.451069,119.975677,34.463455,14.382257
2017-06-21,12774.259766,225.201157,21.122316,120.592461,34.667839,14.3989
2017-06-22,12794.0,225.099213,20.93968,121.61145,34.610806,14.684214
2017-06-23,12733.410156,225.368011,20.83923,121.951111,34.765274,14.565333
2017-06-26,12770.830078,225.516312,20.903156,121.870689,34.655964,14.551068
2017-06-27,12671.019531,223.699539,21.25017,120.681824,34.159241,14.807851
2017-06-28,12647.269531,225.701721,21.807219,119.618103,34.658333,14.96953
2017-06-29,12416.19043,223.718048,22.209028,118.563354,34.147354,14.841137
2017-06-30,12325.120117,224.135178,22.154236,118.250504,34.228165,14.800718
2017-07-03,12475.30957,224.515244,22.537777,118.795769,34.10458,14.874425
2017-07-05,12453.679688,225.034317,22.75695,119.457222,34.244804,14.955264
2017-07-06,12381.25,222.976532,22.565176,118.456093,33.921585,15.200159
2017-07-07,12388.679688,224.422546,22.674761,118.473984,34.266182,15.326174
2017-07-10,12445.919922,224.663544,22.729555,117.58905,34.47533,15.278622
2017-07-11,12437.019531,224.496689,22.464727,117.302994,34.58704,15.454566
2017-07-12,12626.580078,226.183762,22.236423,118.196854,34.636944,15.616244
2017-07-13,12641.330078,226.563782,22.482992,117.866142,35.119411,15.768412
2017-07-14,12631.719727,227.620499,22.108574,118.527611,35.42123,15.984776
2017-07-17,12587.160156,227.592682,21.935068,118.125328,35.544811,15.996664
2017-07-18,12430.389648,227.713181,21.825487,120.190178,35.668404,16.006174
2017-07-19,12452.049805,228.946045,21.971598,120.860611,35.8918,16.025196
2017-07-20,12447.25,229.047974,21.862011,122.076271,35.730194,16.027575
2017-07-21,12240.05957,228.844055,21.734161,120.949989,35.713554,15.682817
2017-07-24,12208.950195,228.788452,21.834616,118.894089,36.146103,15.307152
2017-07-25,12264.30957,229.344635,22.355145,117.884026,36.300583,15.188272
2017-07-26,12305.110352,229.353867,22.108574,117.052689,36.471699,15.383236
2017-07-27,12212.040039,229.140671,22.01726,116.945442,35.782478,15.069391
2017-07-28,12162.700195,228.871857,21.944202,117.857193,35.53056,15.036104
